team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Walid Sb,f,34,35.0,Disasi,1.0,Chalobah,17.0,-16.0
Masala Pan FC,f,3,4.0,Semenyo,1.0,Ferguson,17.0,-16.0
Dandandania,f,10,11.0,Colwill,0.0,Mitchell,15.0,-15.0
Lulli XI,w,25,26.0,Doku,1.0,Douglas Luiz,15.0,-14.0
Lulla XI,w,18,19.0,Mateta,2.0,João Pedro,16.0,-14.0
Lulli XI,w,35,36.0,Van de Ven,-1.0,Muñoz,13.0,-14.0
Masala Pan FC,w,33,34.0,Estupiñan,0.0,Tarkowski,13.0,-13.0
Lulli XI,w,36,37.0,Stones,0.0,Gusto,13.0,-13.0
Dandandania,w,11,12.0,Ferguson,0.0,Solanke,13.0,-13.0
Dandandania,w,14,15.0,Wissa,0.0,Raúl,13.0,-13.0
