team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Masala Pan FC,f,3,4.0,Semenyo,1.0,Ferguson,17.0,-16.0
Dandandania,f,10,11.0,Colwill,0.0,Mitchell,15.0,-15.0
Dandandania,w,11,12.0,Ferguson,0.0,Solanke,13.0,-13.0
Dandandania,w,14,15.0,Wissa,0.0,Raúl,13.0,-13.0
Walid Sb,w,11,12.0,Konaté,0.0,Zinchenko,10.0,-10.0
Masala Pan FC,w,6,7.0,Johnson,0.0,Almirón,10.0,-10.0
Lulli XI,w,13,14.0,A.Doucoure,3.0,Kulusevski,12.0,-9.0
Masala Pan FC,w,13,14.0,Aina,0.0,Tarkowski,8.0,-8.0
Dandandania,w,12,13.0,Adingra,1.0,Gross,9.0,-8.0
Lulli XI,w,14,15.0,Gibbs-White,1.0,A.Doucoure,9.0,-8.0
