added,element_in,element_out,entry,event,id,index,kind,priority,result,gw,id:1,out_pts,in_pts,element_in_name,element_out_name,diff
2023-12-08T11:13:11.192969Z,246,13,218961,16,29726702,,f,,a,17,13,4,2,Calvert-Lewin,Nketiah,-2
2023-12-07T23:41:04.086441Z,573,25,218961,16,29393818,16.0,w,5.0,a,17,25,0,0,Toti,Tomiyasu,0
2023-12-07T21:32:44.379390Z,402,26,249496,16,29309193,4.0,w,2.0,a,17,26,1,9,Almirón,Trossard,8
2023-12-08T08:24:23.508916Z,368,36,230738,16,29592131,10.0,w,3.0,a,17,36,2,1,Stones,Cash,-1
2023-12-09T08:49:23.920235Z,569,49,230738,16,29800693,,f,,a,17,49,1,0,José Sá,Martinez,-1
2023-12-07T21:32:44.379439Z,258,132,249496,16,29309195,18.0,w,4.0,a,17,132,1,0,Maupay,Ferguson,-1
2023-12-07T23:41:04.086325Z,12,86,218961,16,29393814,2.0,w,1.0,a,17,86,0,3,Martinelli,Tavernier,3
2023-12-08T10:56:00.385747Z,572,220,219160,16,29718864,32.0,w,6.0,a,17,220,0,1,N.Semedo,Andersen,1
2023-12-08T10:56:00.385686Z,101,230,219160,16,29718861,21.0,w,3.0,a,17,230,0,2,Flekken,Johnstone,2
2023-12-09T05:22:57.199429Z,6,249,229056,16,29791834,,f,,a,17,249,1,8,Havertz,A.Doucoure,7
2023-12-09T05:21:22.568269Z,114,281,229056,16,29791807,,f,,a,17,281,0,1,Roerslev,Ream,1
2023-12-07T23:03:02.275166Z,616,297,218851,16,29374100,19.0,w,3.0,a,17,297,1,2,Højlund,Gakpo,1
2023-12-08T10:56:00.385608Z,34,365,219160,16,29718859,7.0,w,1.0,a,17,365,2,3,Bailey,Rodrigo,1
2023-12-07T23:05:57.227686Z,558,177,229056,16,29375578,1.0,w,1.0,a,17,177,1,-2,Raúl,Rodriguez,-3
2023-12-07T23:03:02.275205Z,387,615,218851,16,29374102,29.0,w,5.0,a,17,615,1,0,Maguire,Gvardiol,-1
2023-12-09T08:48:20.858181Z,382,108,230738,16,29800632,,f,,a,17,108,0,3,Garnacho,Mbeumo,3
2023-12-07T23:05:57.227759Z,249,677,229056,16,29375580,12.0,w,3.0,a,17,677,0,1,A.Doucoure,Doku,1
2023-12-07T23:03:02.275142Z,29,298,218851,16,29374099,6.0,w,2.0,a,17,298,1,5,White,Gomez,4
2023-12-08T22:16:08.476654Z,148,301,249496,16,29777537,,f,,a,17,301,0,0,Steele,Kelleher,0
