id,points,total_points,event_transfers,points_on_bench,entry,event
94974,48,48,0,0,218961,1
488184,31,79,0,0,218961,2
946929,53,132,0,0,218961,3
1471209,39,171,0,0,218961,4
1995489,40,211,0,0,218961,5
2519769,53,264,0,0,218961,6
3044049,46,310,0,0,218961,7
3568329,46,356,0,0,218961,8
4089925,29,385,0,0,218961,9
4679740,42,427,0,0,218961,10
5269555,53,480,0,0,218961,11
5859370,45,525,0,0,218961,12
6449185,18,543,0,0,218961,13
6982553,39,582,0,0,218961,14
7572368,40,622,0,0,218961,15
8162183,29,651,0,0,218961,16
8751998,24,675,0,0,218961,17
9341813,24,699,0,0,218961,18
9931628,29,728,0,0,218961,19
